ID,Fwy,Direction,District,CA PM,Abs PM,Lanes,Type,Length,Lat,Lng,Road Width,Lane Width,Inner Shoulder Width,Inner Shoulder Treated Width,Outer Shoulder Width,Outer Shoulder Treated Width,Design Speed Limit,Inner Median Width,Terrain,Population,Barrier,Surface
412684,80,EB,4,22.09,49.573,4,Mainline,0.43,38.311972,-122.032899,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Rural,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
411113,80,EB,4,22.5,49.983,4,Mainline,0.56,38.317414,-122.030171,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Rural,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
410764,80,EB,4,23.2,50.683,4,Mainline,0.52,38.325962,-122.023306,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Urbanized,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
413380,80,EB,4,23.55,51.031,4,Mainline,0.33,38.330465,-122.020435,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Urbanized,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
413377,80,EB,4,23.86,51.341,4,Mainline,0.21,38.33447,-122.017861,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Urbanized,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
401878,80,EB,4,23.96,51.441,4,Mainline,0.35,38.335762,-122.017033,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Urbanized,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
413376,80,EB,4,24.55,52.031,4,Mainline,0.7,38.341821,-122.009747,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Rolling,Urbanized,Metal Beam Barrier,"Base & Surface >= 7"" Thick"
411118,80,EB,4,25.36,52.841,4,Mainline,0.41,38.346594,-121.996132,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Cable Barriers,Concrete
409998,80,EB,4,25.37,52.851,4,Mainline,0.25,38.346659,-121.995968,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Cable Barriers,Concrete
410761,80,EB,4,25.85,53.331,4,Mainline,0.49,38.349785,-121.988068,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Cable Barriers,Concrete
413091,80,EB,4,26.35,53.831,4,Mainline,0.46,38.353171,-121.979953,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
408464,80,EB,4,26.76,54.241,4,Mainline,0.49,38.357573,-121.974911,48 ft,12.0 ft,8 ft,8 ft,13 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
410752,80,EB,4,27.32,54.801,4,Mainline,0.29,38.362792,-121.967042,48 ft,12.0 ft,8 ft,8 ft,13 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Three Beam Barrier,Concrete
410767,80,EB,4,27.34,54.821,4,Mainline,0.34,38.362968,-121.96675,48 ft,12.0 ft,8 ft,8 ft,13 ft,10 ft,70 mph,36 ft,Flat,Urbanized,Three Beam Barrier,Concrete
408784,80,EB,4,27.99,55.471,4,Mainline,0.46,38.369338,-121.957953,60 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,65 mph,36 ft,Flat,Urbanized,Three Beam Barrier,Concrete
410750,80,EB,4,28.25,55.731,4,Mainline,0.21,38.372017,-121.954589,48 ft,12.0 ft,5 ft,2 ft,10 ft,10 ft,65 mph,36 ft,Flat,Urbanized,Three Beam Barrier,Concrete
410755,80,EB,4,28.41,55.891,4,Mainline,0.23,38.373669,-121.952524,48 ft,12.0 ft,5 ft,2 ft,10 ft,10 ft,65 mph,87 ft,Flat,Urbanized,Guardrail in Median Both Roadway,Concrete
411116,80,EB,4,28.7,56.181,4,Mainline,1.4,38.376656,-121.948714,48 ft,12.0 ft,5 ft,2 ft,10 ft,10 ft,65 mph,99 ft,Flat,Urbanized,Guardrail in Median Both Roadway,Concrete
402241,80,EB,4,31.23,58.697,3,Mainline,1.64,38.402199,-121.915666,36 ft,12.0 ft,5 ft,2 ft,10 ft,10 ft,65 mph,36 ft,Flat,Urbanized,Cable Barriers,Concrete
402243,80,EB,4,32,59.467,3,Mainline,0.7,38.409972,-121.905441,36 ft,12.0 ft,5 ft,2 ft,10 ft,10 ft,65 mph,36 ft,Flat,Urbanized,Cable Barriers,Concrete
402245,80,EB,4,32.62,60.087,3,Mainline,0.5,38.416238,-121.897211,36 ft,12.0 ft,5 ft,2 ft,10 ft,10 ft,65 mph,36 ft,Flat,Urbanized,Cable Barriers,Concrete
